"","x"
"1",531
"2",642
"3",524
"4",490
"5",695
"6",620
"7",750
"8",791
"9",683
"10",708
"11",617
"12",650
"13",535
"14",574
"15",585
"16",422
"17",696
"18",663
"19",748
"20",718
"21",540
"22",763
"23",669
"24",672
"25",511
"26",507
"27",514
"28",459
"29",716
"30",687
"31",753
"32",782
"33",781
"34",766
"35",679
"36",634
"37",573
"38",602
"39",651
"40",495
"41",685
"42",649
"43",708
"44",699
"45",664
"46",787
"47",743
"48",637
"49",624
"50",643
"51",476
"52",377
"53",572
"54",588
"55",697
"56",705
"57",424
"58",711
"59",669
"60",591
"61",439
"62",467
"63",457
"64",397
"65",606
"66",586
"67",714
"68",736
"69",757
"70",745
"71",608
"72",662
"73",503
"74",567
"75",421
"76",383
"77",595
"78",551
"79",709
"80",742
"81",516
"82",741
"83",612
"84",650
"85",444
"86",470
"87",419
"88",415
"89",596
"90",607
"91",638
"92",723
"93",647
"94",720
"95",536
"96",626
"97",463
"98",552
"99",484
"100",399
"101",629
"102",619
"103",686
"104",688
"105",509
"106",737
"107",559
"108",610
"109",456
"110",528
"111",472
"112",373
"113",621
"114",576
"115",726
"116",721
"117",465
"118",754
"119",598
"120",547
"121",498
"122",489
"123",374
"124",301
"125",446
"126",443
"127",657
"128",681
"129",628
"130",729
"131",496
"132",479
"133",384
"134",513
"135",366
"136",259
"137",461
"138",500
"139",641
"140",599
"141",392
"142",668
"143",510
"144",447
"145",343
"146",385
"147",304
"148",224
"149",454
"150",433
"151",546
"152",751
"153",661
"154",703
"155",375
"156",480
"157",225
"158",329
"159",221
"160",199
"161",360
"162",488
"163",504
"164",553
"165",560
"166",776
"167",407
"168",333
"169",306
"170",274
"171",214
"172",217
"173",299
"174",297
"175",530
"176",646
"177",285
"178",583
"179",309
"180",348
"181",281
"182",280
"183",240
"184",134
"185",379
"186",337
"187",532
"188",471
"189",267
"190",589
"191",429
"192",391
"193",211
"194",218
"195",212
"196",180
"197",350
"198",380
"199",549
"200",523
"201",312
"202",501
"203",236
"204",386
"205",253
"206",209
"207",226
"208",157
"209",409
"210",339
"211",658
"212",756
"213",405
"214",481
"215",342
"216",314
"217",237
"218",238
"219",263
"220",251
"221",435
"222",335
"223",627
"224",542
"225",430
"226",534
"227",332
"228",381
"229",246
"230",331
"231",228
"232",118
"233",389
"234",403
"235",654
"236",593
"237",326
"238",427
"239",324
"240",298
"241",154
"242",189
"243",210
"244",147
"245",359
"246",275
"247",394
"248",581
"249",291
"250",710
"251",354
"252",245
"253",128
"254",171
"255",140
"256",161
"257",307
"258",349
"259",613
"260",575
"261",269
"262",436
"263",252
"264",192
"265",227
"266",345
"267",249
"268",129
"269",358
"270",186
"271",404
"272",522
"273",120
"274",644
"275",396
"276",284
"277",117
"278",222
"279",127
"280",101
"281",241
"282",277
"283",660
"284",759
"285",525
"286",475
"287",272
"288",193
"289",122
"290",105
"291",67
"292",73
"293",205
"294",156
"295",401
"296",611
"297",300
"298",327
"299",208
"300",169
"301",108
"302",79
"303",138
"304",55
"305",240
"306",201
"307",330
"308",328
"309",231
"310",449
"311",185
"312",170
"313",45
"314",103
"315",91
"316",60
"317",177
"318",158
"319",428
"320",437
"321",426
"322",529
"323",85
"324",110
"325",30
"326",84
"327",50
"328",26
"329",142
"330",107
"331",325
"332",623
"333",376
"334",282
"335",109
"336",86
"337",54
"338",46
"339",59
"340",29
"341",123
"342",124
"343",264
"344",316
"345",36
"346",256
"347",133
"348",168
"349",63
"350",137
"351",71
"352",34
"353",114
"354",115
"355",321
"356",346
"357",48
"358",317
"359",233
"360",135
"361",69
"362",96
"363",82
"364",28
"365",194
"366",159
"367",434
"368",478
"369",230
"370",631
"371",176
"372",148
"373",68
"374",111
"375",262
"376",41
"377",152
"378",80
"379",281
"380",364
"381",100
"382",288
"383",107
"384",87
"385",47
"386",62
"387",57
"388",35
"389",161
"390",98
"391",319
"392",315
"393",234
"394",601
"395",136
"396",178
"397",49
"398",56
"399",43
"400",22
"401",116
"402",108
"403",305
"404",322
"405",78
"406",320
"407",126
"408",155
"409",76
"410",286
"411",44
"412",37
"413",102
"414",99
"415",235
"416",323
"417",112
"418",406
"419",187
"420",149
"421",39
"422",119
"423",65
"424",31
"425",183
"426",229
"427",442
"428",555
"429",242
"430",400
"431",258
"432",216
"433",53
"434",104
"435",70
"436",51
"437",219
"438",174
"439",450
"440",733
"441",412
"442",438
"443",196
"444",179
"445",72
"446",121
"447",77
"448",58
"449",207
"450",247
"451",461
"452",518
"453",254
"454",455
"455",244
"456",278
"457",164
"458",338
"459",139
"460",130
"461",290
"462",248
"463",580
"464",491
"465",223
"466",487
"467",276
"468",291
"469",106
"470",147
"471",202
"472",93
"473",341
"474",292
"475",550
"476",492
"477",473
"478",537
"479",347
"480",313
"481",146
"482",197
"483",213
"484",132
"485",369
"486",353
"487",597
"488",675
"489",632
"490",746
"491",570
"492",357
"493",257
"494",303
"495",206
"496",125
"497",361
"498",299
"499",502
"500",499
