"","x"
"1",0.043
"2",0.046
"3",0.034
"4",0.028
"5",0.031
"6",0.03
"7",0.022
"8",0.031
"9",0.034
"10",0.044
"11",0.027
"12",0.022
"13",0.026
"14",0.025
"15",0.03
"16",0.043
"17",0.045
"18",0.029
"19",0.032
"20",0.026
"21",0.018
"22",0.014
"23",0.024
"24",0.028
"25",0.024
"26",0.026
"27",0.027
"28",0.024
"29",0.035
"30",0.029
"31",0.021
"32",0.025
"33",0.027
"34",0.031
"35",0.019
"36",0.019
"37",0.014
"38",0.022
"39",0.019
"40",0.021
"41",0.011
"42",0.018
"43",0.016
"44",0.021
"45",0.021
"46",0.018
"47",0.006
"48",0.024
"49",0.024
"50",0.02
"51",0.009
"52",0.012
"53",0.016
"54",0.014
"55",0.023
"56",0.017
"57",0.018
"58",0.021
"59",0.017
"60",0.029
"61",0.019
"62",0.03
"63",0.032
"64",0.023
"65",0.013
"66",0.023
"67",0.014
"68",0.016
"69",0.018
"70",0.014
"71",0.011
"72",0.022
"73",0.019
"74",0.013
"75",0.015
"76",0.02
"77",0.03
"78",0.026
"79",0.023
"80",0.022
"81",0.019
"82",0.011
"83",0.018
"84",0.027
"85",0.012
"86",0.016
"87",0.03
"88",0.033
"89",0.031
"90",0.035
"91",0.031
"92",0.046
"93",0.037
"94",0.025
"95",0.027
"96",0.039
"97",0.039
"98",0.03
"99",0.035
"100",0.039
"101",0.041
"102",0.04
"103",0.038
"104",0.037
"105",0.036
"106",0.04
"107",0.033
"108",0.033
"109",0.036
"110",0.038
"111",0.033
"112",0.033
"113",0.038
"114",0.04
"115",0.038
"116",0.041
"117",0.042
"118",0.041
"119",0.035
"120",0.046
"121",0.041
"122",0.042
"123",0.036
"124",0.027
"125",0.023
"126",0.026
"127",0.022
"128",0.031
"129",0.023
"130",0.041
"131",0.039
"132",0.029
"133",0.032
"134",0.024
"135",0.037
"136",0.043
"137",0.043
"138",0.044
"139",0.042
"140",0.041
"141",0.04
"142",0.038
"143",0.041
"144",0.034
"145",0.033
"146",0.027
"147",0.032
"148",0.031
"149",0.034
"150",0.045
"151",0.045
"152",0.049
"153",0.043
"154",0.045
"155",0.043
"156",0.035
"157",0.032
"158",0.031
"159",0.027
"160",0.044
"161",0.036
"162",0.034
"163",0.033
"164",0.03
"165",0.033
"166",0.039
"167",0.038
"168",0.036
"169",0.033
"170",0.039
"171",0.037
"172",0.035
"173",0.039
"174",0.045
"175",0.036
"176",0.037
"177",0.049
"178",0.045
"179",0.04
"180",0.039
"181",0.045
"182",0.04
"183",0.036
"184",0.035
"185",0.027
"186",0.049
"187",0.047
"188",0.038
"189",0.035
"190",0.031
"191",0.021
"192",0.021
"193",0.022
"194",0.034
"195",0.031
"196",0.029
"197",0.03
"198",0.022
"199",0.026
"200",0.026
"201",0.022
"202",0.022
"203",0.021
"204",0.022
"205",0.016
"206",0.013
"207",0.016
"208",0.02
"209",0.017
"210",0.015
"211",0.013
"212",0.01
"213",0.019
"214",0.029
"215",0.028
"216",0.02
"217",0.018
"218",0.013
"219",0.015
"220",0.016
"221",0.027
"222",0.03
"223",0.021
"224",0.013
"225",0.018
"226",0.02
"227",0.013
"228",0.022
"229",0.019
"230",0.013
"231",0.014
"232",0.009
"233",0.007
"234",0.009
"235",0.012
"236",0.011
"237",0.007
"238",0.018
"239",0.011
"240",0.009
"241",0.016
"242",0.017
"243",0.017
"244",0.019
"245",0.021
"246",0.023
"247",0.018
"248",0.025
"249",0.036
"250",0.034
"251",0.04
"252",0.03
"253",0.036
"254",0.033
"255",0.031
"256",0.009
"257",0.021
"258",0.025
"259",0.014
"260",0.025
"261",0.024
"262",0.026
"263",0.027
"264",0.036
"265",0.021
"266",0.016
"267",0.034
"268",0.035
"269",0.036
"270",0.033
"271",0.039
"272",0.039
"273",0.035
"274",0.033
"275",0.022
"276",0.014
"277",0.032
"278",0.026
"279",0.031
"280",0.033
"281",0.031
"282",0.026
"283",0.029
"284",0.023
"285",0.019
"286",0.024
"287",0.022
"288",0.035
"289",0.042
"290",0.035
"291",0.032
"292",0.033
"293",0.025
"294",0.038
"295",0.041
"296",0.035
"297",0.034
"298",0.028
"299",0.025
"300",0.032
"301",0.024
"302",0.035
"303",0.033
"304",0.04
"305",0.032
"306",0.021
"307",0.029
"308",0.034
"309",0.042
"310",0.03
"311",0.03
"312",0.045
"313",0.047
"314",0.037
"315",0.022
"316",0.033
"317",0.041
"318",0.04
"319",0.037
"320",0.044
"321",0.037
"322",0.029
"323",0.029
"324",0.046
"325",0.034
"326",0.022
"327",0.048
"328",0.047
"329",0.046
"330",0.034
"331",0.051
"332",0.044
"333",0.041
"334",0.026
"335",0.026
"336",0.043
"337",0.035
"338",0.033
"339",0.02
"340",0.051
"341",0.038
"342",0.04
"343",0.036
"344",0.036
"345",0.033
"346",0.044
"347",0.042
"348",0.037
"349",0.03
"350",0.028
"351",0.041
"352",0.026
"353",0.027
"354",0.018
"355",0.036
"356",0.015
"357",0.019
"358",0.018
"359",0.006
"360",0.008
"361",0.005
"362",0.021
"363",0.024
"364",0.023
"365",0.017
"366",0.022
"367",0.024
"368",0.024
"369",0.015
"370",0.02
"371",0.021
"372",0.018
"373",0.02
"374",0.015
"375",0.012
"376",0.025
"377",0.019
"378",0.015
"379",0.021
"380",0.021
"381",0.015
"382",0.019
"383",0.021
"384",0.026
"385",0.024
"386",0.025
"387",0.026
"388",0.018
"389",0.013
"390",0.017
"391",0.026
"392",0.026
"393",0.02
"394",0.018
"395",0.019
"396",0.019
"397",0.021
"398",0.023
"399",0.015
"400",0.015
"401",0.014
"402",0.021
"403",0.027
"404",0.018
"405",0.017
"406",0.022
"407",0.029
"408",0.028
"409",0.03
"410",0.029
"411",0.031
"412",0.036
"413",0.035
"414",0.033
"415",0.03
"416",0.022
"417",0.025
"418",0.028
"419",0.029
"420",0.03
"421",0.039
"422",0.038
"423",0.038
"424",0.04
"425",0.033
"426",0.037
"427",0.041
"428",0.038
"429",0.031
"430",0.036
"431",0.033
"432",0.031
"433",0.041
"434",0.037
"435",0.041
"436",0.04
"437",0.038
"438",0.035
"439",0.023
"440",0.035
"441",0.012
"442",0.025
"443",0.035
"444",0.044
"445",0.044
"446",0.029
"447",0.037
"448",0.035
"449",0.034
"450",0.044
"451",0.037
"452",0.04
"453",0.04
"454",0.041
"455",0.042
"456",0.039
"457",0.022
"458",0.019
"459",0.041
"460",0.04
"461",0.041
"462",0.045
"463",0.034
"464",0.041
"465",0.042
"466",0.045
"467",0.048
"468",0.035
"469",0.023
"470",0.041
"471",0.046
"472",0.039
"473",0.036
"474",0.016
"475",0.025
"476",0.051
"477",0.043
"478",0.032
"479",0.021
"480",0.036
"481",0.04
"482",0.022
"483",0.019
"484",0.02
"485",0.048
"486",0.041
"487",0.035
"488",0.032
"489",0.038
"490",0.04
"491",0.028
"492",0.027
"493",0.025
"494",0.023
"495",0.023
"496",0.03
"497",0.023
"498",0.022
"499",0.032
"500",0.051
